cLabel,cID,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
Adult-Ex3,3,8,"CHN1, HR, HTR2A, PRDM8, NTNG1, VAV3, TRPC3, VIPR2",0.453701711965947,0.00135615832774816,0.0256522412222693,0,0
Adult-In6,14,4,"NXPH1, PVALB, RPH3AL, LRRC38",0.346610027690792,0.00213768676852244,0.0256522412222693,0,0
Adult-In8,16,2,"CTTNBP2, NMU",0.190907042329021,0.00375597807334915,0.0300478245867932,2e-05,0.00016
Adult-Ex2,2,9,"GLIS3, PTPRK, COL5A2, ADCY8, TRHDE, CLMN, LAMA2, OVOL2, SYT10",0.198058518999684,0.00514338800587644,0.0308603280352586,0.0029,0.0174
Adult-In4,12,5,"GABRB2, SV2C, TRPC3, KIT, PDGFRA",0.20224332232772,0.0234541889080525,0.112580106758652,0.00744,0.035712
Adult-Oligo,24,24,"MSX1, ADAMTS4, TF, ENPP2, KLK6, ERMN, RNASE1, PLP1, CNDP1, UGT8, PLEKHB1, NR4A2, GPNMB, GJB1, PAQR6, GSN, FA2H, CARNS1, MOBP, MBP, OLFML2B, KCNMB4, LGI3, MAG",0.125217257183968,0.0807643011505422,0.323057204602169,0.07506,0.30024
Adult-Endo,18,51,"ITGB8, RAB31, PDLIM5, PDGFRA, SPARC, DCN, CTH, EDNRB, B2M, MSX1, ADAMTS4, TF, ENPP2, KLK6, ERMN, RNASE1, PLP1, CNDP1, UGT8, PLEKHB1, NR4A2, GPNMB, GJB1, PAQR6, GSN, FA2H, CARNS1, MOBP, MBP, OLFML2B, HPGD, DSP, ANKRD13A, SEMA5A, CDC14A, PRRX1, ZFHX3, FLT1, CEBPD, GNG11, FERMT1, RCSD1, ITIH5, APOLD1, EDN3, FOXC1, IFI27, ESAM, ANXA1, ITGA1, RGS5",0.078005722860377,0.121717000774515,0.417315431226908,0.14024,0.480822857142857
Adult-In5,13,6,"GAL3ST1, MTUS2, SLC2A13, PDGFD, TOX, MYB",0.0228484225396386,0.402337921021,0.996757293735509,0.44526,0.9983
Adult-In7,15,8,"CKMT1B, DPYSL5, HS6ST2, KIAA1324, VWDE, HPGD, DSP, COL24A1",-0.000154262957252834,0.552484988542195,0.996757293735509,0.5731,0.9983
Adult-OtherNeuron,22,30,"CALB2, CCK, GABRG2, MAP7D2, VSNL1, SST, KIT, DNER, PNOC, SLC10A4, VIP, SHISA8, PTHLH, TAC3, CPNE2, HTR2C, RELN, IGFBP5, PROX1, PCDH20, ITGA8, ADCY8, TMEM132C, PIP5K1B, NMU, TAC1, CRHBP, GPR83, PVALB, LRRC38",-0.0135022275706534,0.597367094391539,0.996757293735509,0.61618,0.9983
Adult-Ex8,8,42,"NTNG2, RGS12, NR4A2, HPSE2, OLFML2B, RASGEF1C, GALNT14, FRAS1, CRTAC1, MGAT5, SYNPR, KLHL1, RNF152, GFRA1, CTNNA3, ITGB8, PDLIM5, THEMIS, SWAP70, TRPC5, ITGA11, SFMBT2, B3GAT2, TESC, SNTB1, SYT10, CLTCL1, GNG4, RASSF3, CDC14A, HGF, FAM151B, ATP10A, ADRA2A, ANKRD13A, CDK18, LIMS2, NPTX1, PDE1A, SATB2, SEC14L5, SFXN5",-0.0111380570945231,0.614798957706732,0.996757293735509,0.5748,0.9983
Adult-In2,10,4,"COL21A1, GABRA1, KCNT2, SLC7A11",-0.0505585975958772,0.654958958003372,0.996757293735509,0.6505,0.9983
Adult-Ex5,5,18,"CELF4, CPNE4, NEUROD2, SORCS2, SV2B, TLL1, IL1RAPL2, ARSJ, IFITM10, RNF182, ABCC9, RCSD1, ADTRP, CELF4, CPNE4, NEUROD2, SORCS2, SV2B",-0.0449401557441169,0.699364223650291,0.996757293735509,0.65376,0.9983
Adult-Ex6,6,30,"SEMA3E, DLC1, KIAA1217, GRIK3, TLE4, BCL11B, LUZP2, ADAMTSL1, ZFHX3, SDK2, GRM4, LRRC3B, PCSK5, ZNF385D, VAV2, ATP2C2, GHR, RYR3, CNTNAP3, ANKRD18A, SULF1, SEMA5A, FEZF2, ITGA8, SYT6, TSPAN18, RGS9, FOXP2, RASL10A, RYR2",-0.0485582099043961,0.704534764891086,0.996757293735509,0.65942,0.9983
Dev-replicating,20,21,"SEMA3E, SYT6, FEZF2, RNF182, SRGAP1, SOX11, TUBA1A, SOX4, NEUROD6, NREP, GLI3, CDO1, CHRDL1, GNG4, LAMP5, MAP6D1, ZNF268, CENPF, TNC, KIF23, FCRLB",-0.0407114834074604,0.717481485253146,0.996757293735509,0.67092,0.9983
Adult-Ex4,4,14,"ANO3, LMO4, SCN2A, SLC17A7, TSHZ2, GABRG1, PLCXD3, COL6A1, ANXA1, TNNT2, NEUROD6, CXXC4, PCDH20, PAPSS2",-0.0765513760593839,0.823762501108934,0.996757293735509,0.78072,0.9983
Dev-quiescent,19,14,"BCL11A, DPYSL3, GLRA2, STMN2, SEMA3E, SYT6, FEZF2, RNF182, SRGAP1, SOX11, TUBA1A, SOX4, NEUROD6, NREP",-0.101707676563422,0.85168734094668,0.996757293735509,0.83204,0.9983
Adult-Ex7,7,5,"DPYD, NELL1, CHST8, SNTG2, PRRX1",-0.1287280306963,0.884399425313873,0.996757293735509,0.8776,0.9983
Adult-Astro,17,26,"ALDH1L1, NWD1, SLCO1C1, HGF, SPARCL1, SLC25A18, FGFR3, GFAP, ITGB4, SLC7A11, RANBP3L, RNF43, SLC14A1, GJA1, USP9Y, SLC39A12, COL16A1, DLC1, ABCC9, MGST1, GABRG1, ITGA7, CLTCL1, RGS9, SLC30A10, GRM3",-0.162027370555905,0.902302183400369,0.996757293735509,0.89628,0.9983
Adult-In1,9,2,"CNR1, SDK2",-0.316083513322218,0.916538412987125,0.996757293735509,0.92668,0.9983
Adult-OPC,23,34,"LRRK2, IL1RAP, IFITM10, PCDH15, CSF1R, LAPTM5, RGS10, PTPRC, C3, ALOX5AP, HLA-DRA, BCL2A1, ITGAX, DHRS9, OLR1, CD53, LCP1, CD74, CD83, CMKLR1, GALR1, PAX6, COL11A1, CXXC4, SCG2, GFRA1, MEGF11, SLITRK1, GRIA3, XYLT1, LUZP2, LHFPL3, BLM, HRASLS",-0.1419165260896,0.929916314455194,0.996757293735509,0.93878,0.9983
Adult-Micro,21,18,"ST8SIA4, CSF1R, LAPTM5, RGS10, PTPRC, C3, ALOX5AP, HLA-DRA, BCL2A1, ITGAX, DHRS9, OLR1, CD53, LCP1, CD74, CD83, CMKLR1, GALR1",-0.186404765321898,0.942627365568078,0.996757293735509,0.9451,0.9983
Adult-In3,11,13,"CALN1, CIT, CNTN4, TMEM130, SHISA8, IGFBP5, RYR3, EXPH5, SLC12A7, CRIM1, EMID1, SYT2, AHRR",-0.108481767902295,0.96648667467497,0.996757293735509,0.97698,0.9983
Adult-Ex1,1,13,"HPCAL1, LAMP5, CDH9, GNAL, PCDH8, PDGFD, GREB1L, MDGA1, GPR83, NECAB2, CAMK2A, KCNK1, KCNV1",-0.255169026765343,0.996757293735509,0.996757293735509,0.9983,0.9983
